2019-04-01 12:36:51,919 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ndms_system:kndcs:1.0.0 @ D:\Demo\GitServer\ndms_app\kndcs\pom.xml.
2019-04-01 12:36:52,140 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jasypt-spring3:jar:1.9.2 is missing, no dependency information available
2019-04-01 12:36:52,150 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:spring-modules-validation:jar:0.8 is missing, no dependency information available
2019-04-01 12:36:52,156 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:commons-validator:jar:1.3.0 is missing, no dependency information available
2019-04-01 12:36:52,163 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-ext-spring:jar:1.0.2 is missing, no dependency information available
2019-04-01 12:36:52,170 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-jdk15:jar:2.2.2 is missing, no dependency information available
2019-04-01 12:36:52,178 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ezmorph:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:36:52,187 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jstl:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:36:52,197 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:taglibs:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:36:52,210 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ehcache:jar:2.10.0 is missing, no dependency information available
2019-04-01 12:36:52,222 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:webappenhance:jar:1.0.1 is missing, no dependency information available
2019-04-01 12:36:52,284 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-validator:jar:5.1.3.Final is missing, no dependency information available
2019-04-01 12:36:52,290 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-annotations:jar:3.5.6-Final is missing, no dependency information available
2019-04-01 12:36:52,297 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-entitymanager:jar:5.1.0.Final is missing, no dependency information available
2019-04-01 12:36:52,303 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-core:jar:5.1.0.Final is missing, no dependency information available
2019-04-01 12:36:52,311 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jboss-logging:jar:3.3.0.Final is missing, no dependency information available
2019-04-01 12:36:52,320 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:classmate:jar:1.3.4 is missing, no dependency information available
2019-04-01 12:36:52,329 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:commons-fileupload:jar:1.3.3 is missing, no dependency information available
2019-04-01 12:36:52,336 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-core:jar:3.0.4 is missing, no dependency information available
